Team,Opponent,Ground,Year,Player Of The Match,Result
Pakistan,Sri Lanka,Sharjah,1984,Roy Dias,Lose
Sri Lanka,Pakistan,Sharjah,1984,Roy Dias,Win
India,Sri Lanka,Sharjah,1984,Surinder Khanna,Win
Sri Lanka,India,Sharjah,1984,Surinder Khanna,Lose
India,Pakistan,Sharjah,1984,Surinder Khanna,Win
Pakistan,India,Sharjah,1984,Surinder Khanna,Lose
Sri Lanka,Pakistan,Colombo(PSS),1986,Mohsin Khan,Lose
Pakistan,Sri Lanka,Colombo(PSS),1986,Mohsin Khan,Win
Bangladesh,Pakistan,Moratuwa,1986,Wasim Akram,Lose
Pakistan,Bangladesh,Moratuwa,1986,Wasim Akram,Win
Sri Lanka,Bangladesh,Kandy,1986,Asanka Gurusinha,win
Bangladesh,Sri Lanka,Kandy,1986,Asanka Gurusinha,Lose
Sri Lanka,Pakistan,Colombo(SSC),1986,Javed Miandad,Win
Pakistan,Sri Lanka,Colombo(SSC),1986,Javed Miandad,Lose
Pakistan,Sri Lanka,Dhaka,1988,Roshan Mahanama,Lose
Sri Lanka,Pakistan,Dhaka,1988,Roshan Mahanama,Win
Bangladesh,India,Chattogram,1988,Navjot Sidhu,Lose
India,Bangladesh,Chattogram,1988,Navjot Sidhu,Win
India,Sri Lanka,Dhaka,1988,Aravinda de Silva,Lose
Sri Lanka,India,Dhaka,1988,Aravinda de Silva,Win
Bangladesh,Pakistan,Chattogram,1988,Moin ul Atiq,Lose
Pakistan,Bangladesh,Chattogram,1988,Moin ul Atiq,Win
India,Pakistan,Dhaka,1988,Arshad Ayub,Win
Pakistan,India,Dhaka,1988,Arshad Ayub,Lose
Bangladesh,Sri Lanka,Dhaka,1988,Brendon Kuruppu,Lose
Sri Lanka,Bangladesh,Dhaka,1988,Brendon Kuruppu,Win
India,Sri Lanka,Dhaka,1988,Navjot Sidhu,Win
Sri Lanka,India,Dhaka,1988,Navjot Sidhu,Lose
India,Bangladesh,Chandigarh,1990,Navjot Sidhu,Win
Bangladesh,India,Chandigarh,1990,Navjot Sidhu,Lose
India,Sri Lanka,Cuttack,1990,Arjuna Ranatunga,Lose
Sri Lanka,India,Cuttack,1990,Arjuna Ranatunga,Win
Bangladesh,Sri Lanka,Kolkata,1990,Athar Ali Khan,Lose
Sri Lanka,Bangladesh,Kolkata,1990,Athar Ali Khan,Win
India,Sri Lanka,Kolkata,1991,Mohammad Azharuddin,Win
Sri Lanka,India,Kolkata,1991,Mohammad Azharuddin,Lose
