Player Name,Country,Matches,Runs,Centuries
ST Jayasuriya ,Sri Lanka,25,1220,6
KC Sangakkara ,Sri Lanka,24,1075,4
SR Tendulkar ,India,23,971,2
Shoaib Malik ,Pakistan,17,786,3
RG Sharma ,India,22,745,1
A Ranatunga ,Sri Lanka,19,741,1
Mushfiqur Rahim ,Bangladesh,21,699,2
DPMD Jayawardene ,Sri Lanka,28,674,0
MS Dhoni ,India,19,648,1
PA de Silva ,Sri Lanka,24,645,0
MS Atapattu ,Sri Lanka,13,642,1
V Kohli ,India,11,613,3
Inzamam-ul-Haq ,Pakistan,15,591,0
G Gambhir ,India,13,573,1
SK Raina ,India,13,547,2
Younis Khan ,Pakistan,14,546,2
S Dhawan ,India,9,534,2
Shahid Afridi ,Pakistan,23,532,2
NS Sidhu ,India,14,530,1
Tamim Iqbal ,Bangladesh,13,519,0
SC Ganguly ,India,13,518,1
Umar Akmal ,Pakistan,12,510,1
V Sehwag ,India,13,509,1
Mohammad Yousuf ,Pakistan,14,490,1
M Azharuddin ,India,18,468,0
Misbah-ul-Haq ,Pakistan,14,419,0
Mohammad Hafeez ,Pakistan,9,403,1
Shakib Al Hasan ,Bangladesh,13,402,0
Athar Ali Khan ,Bangladesh,11,368,0
TM Dilshan ,Sri Lanka,20,368,0
CK Kapugedera ,Sri Lanka,12,365,0
HDRL Thirimanne ,Sri Lanka,8,363,2
Akram Khan ,Bangladesh,13,345,0
R Dravid ,India,13,334,1
AD Mathews ,Sri Lanka,11,331,0
Mahmudullah ,Bangladesh,20,328,0
Saeed Anwar ,Pakistan,9,320,0
Mohammad Ashraful ,Bangladesh,12,316,1
Yuvraj Singh ,India,11,312,0
Mohammad Shahzad ,Afghanistan,9,308,1
WU Tharanga ,Sri Lanka,9,304,0
KD Karthik ,India,12,302,0
Nasir Jamshed ,Pakistan,6,298,1
AP Gurusinha ,Sri Lanka,10,281,0
Asghar Afghan ,Afghanistan,9,277,0
RS Mahanama ,Sri Lanka,16,273,0
Hashmatullah Shahidi ,Afghanistan,5,263,0
AT Rayudu ,India,10,260,0
Fawad Alam ,Pakistan,4,251,1
Javed Omar ,Bangladesh,7,250,0
