Player Name,Country,Matches,Overs,Wickets,Economy Rate
M Muralidaran ,Sri Lanka,24,230.2,30,3.75
SL Malinga ,Sri Lanka,14,128.1,29,4.65
BAW Mendis ,Sri Lanka,8,68.0,26,3.98
Saeed Ajmal ,Pakistan,12,115.0,25,4.21
WPUJC Vaas ,Sri Lanka,19,152.2,23,4.19
IK Pathan ,India,12,109.1,22,5.54
ST Jayasuriya ,Sri Lanka,25,148.5,22,4.48
Abdur Razzak ,Bangladesh,18,170.2,22,4.67
RA Jadeja ,India,14,116.1,19,4.34
Shakib Al Hasan ,Bangladesh,13,127.4,19,4.87
Mashrafe Mortaza ,Bangladesh,19,152.3,18,5.69
Abdul Qadir ,Pakistan,8,69.2,17,3.62
SR Tendulkar ,India,23,76.2,17,4.76
Wasim Akram ,Pakistan,12,92.1,16,3.22
Abdul Razzaq ,Pakistan,11,75.2,16,4.28
N Kapil Dev ,India,7,54.4,15,3.56
JR Ratnayeke ,Sri Lanka,9,73.0,15,4.31
DNT Zoysa ,Sri Lanka,8,69.0,14,4.01
R Ashwin ,India,7,68.4,14,4.63
Umar Gul ,Pakistan,11,85.2,14,5.8
A Kumble ,India,15,128.0,14,4.15
Shahid Afridi ,Pakistan,23,178.0,14,4.96
BKV Prasad ,India,7,52.0,13,4.44
MF Maharoof ,Sri Lanka,11,81.0,13,5.17
V Sehwag ,India,13,55.4,12,4.56
Shoaib Malik ,Pakistan,17,90.4,12,4.25
P Kumar ,India,11,90.3,12,5.56
A Ranatunga ,Sri Lanka,19,65.0,11,4.2
NLTC Perera ,Sri Lanka,7,57.1,11,5.35
RAS Lakmal ,Sri Lanka,8,71.1,11,5.08
Rashid Khan ,Afghanistan,5,46.1,10,3.72
Mustafizur Rahman ,Bangladesh,5,42.0,10,4.4
Kuldeep Yadav ,India,6,58.0,10,4.08
Sohail Tanvir ,Pakistan,5,42.0,10,5.73
Shoaib Akhtar ,Pakistan,7,65.0,10,4.04
Shahadat Hossain ,Bangladesh,9,69.5,10,6.87
Mahmudullah ,Bangladesh,20,101.0,10,5.1
Arshad Ayub ,India,4,36.0,9,3.33
Iftikhar Anjum ,Pakistan,5,43.4,9,4.8
Mohammed Shami ,India,4,37.2,9,6.16
Z Khan ,India,8,62.3,9,5.23
UDU Chandana ,Sri Lanka,10,75.5,9,4.36
Mohammad Nabi ,Afghanistan,9,84.2,9,3.92
B Kumar ,India,9,77.2,9,4.43
KMDN Kulasekara ,Sri Lanka,12,90.2,9,4.9
