Year,Champion,Player Of The Series,Highest Wicket Taker
1984,India,Surinder Khanna,Ravi Shastri
1986,Sri Lanka,Arjuna Ranatunga,Abdul Qadir
1988,India,Navjot Sidhu,Arshad Ayub
1990,India,Not Awarded,Kapil Dev
1995,India,Navjot Sidhu,Anil Kumble
1997,Sri Lanka,Arjuna Ranatunga,Venkatesh Prasad
2000,Pakistan,Yousuf Youhana,Abdul Razzaq
2004,Sri Lanka,Sanath Jayasuriya,Irfan Pathan
2008,Sri Lanka,Ajantha Mendis,Ajantha Mendis
2010,India,Shahid Afridi,Lasith Malinga
2012,Pakistan,Shakib Al Hasan,Umar Gul
2014,Sri Lanka,Lahiru Thirimanne,Lasith Malinga
2016,India,Sabbir Rahman,Al Amin Hossain
2018,India,Shikhar Dhawan,Rashid Khan
2022,Sri Lanka,Wanindu Hasaranga,Bhuvneshwar Kumar
