Player Name,Country,Matches,Dismissals,Maximum Dismissals
MS Dhoni ,India,19,36,5
KC Sangakkara ,Sri Lanka,24,36,4
Moin Khan ,Pakistan,14,17,3
Mushfiqur Rahim ,Bangladesh,21,17,4
DSBP Kuruppu ,Sri Lanka,9,14,4
RS Kaluwitharana ,Sri Lanka,8,11,5
Khaled Mashud ,Bangladesh,14,11,3
Sarfaraz Ahmed ,Pakistan,13,10,3
Zulqarnain ,Pakistan,3,9,4
R Dravid ,India,13,7,2
NR Mongia ,India,5,7,3
Umar Akmal ,Pakistan,12,7,2
Amjad Ali ,UAE,2,5,3
Mohammad Shahzad ,Afghanistan,9,5,1
Litton Das ,Bangladesh,6,4,2
SS McKechnie ,Hong Kong,2,4,2
HP Tillakaratne ,Sri Lanka,9,4,2
Anamul Haque ,Bangladesh,4,4,3
KD Karthik ,India,12,4,2
Anil Dalpat ,Pakistan,2,3,2
SC Khanna ,India,2,3,2
Saleem Yousuf ,Pakistan,2,3,2
SKL de Silva ,Sri Lanka,3,3,2
Kamran Akmal ,Pakistan,3,3,1
SS Karim ,India,5,3,2
KS More ,India,5,3,2
TM Dilshan ,Sri Lanka,20,2,2
CI Dunusinghe ,Sri Lanka,1,2,2
TT Smart ,Hong Kong,2,2,2
JJ Atkinson ,Hong Kong,2,2,2
Hafizur Rahman ,Bangladesh,2,2,1
CS Pandit ,India,2,2,2
PA Patel ,India,2,2,1
MDKJ Perera ,Sri Lanka,7,2,2
Nasir Ahmed ,Bangladesh,5,2,1
Aamer Malik ,Pakistan,2,1,1
Javed Qadeer ,Pakistan,1,1,1
Abdul Rehman ,UAE,1,0,0
Asghar Ali ,UAE,2,0,0
Nasir Hameed ,Hong Kong,1,0,0
